Meta Data,Time Series (5min)
"Intraday (5min) open, high, low, close prices and volume",
SPY,
2009-01-30 19:55:00,
5min,
Full size,
US/Eastern,
,"{'1. open': '63.7290', '2. high': '63.8100', '3. low': '63.5520', '4. close': '63.6450', '5. volume': '16250'}"
,"{'1. open': '63.7290', '2. high': '63.8180', '3. low': '63.5750', '4. close': '63.6450', '5. volume': '39404'}"
,"{'1. open': '63.7820', '2. high': '63.8480', '3. low': '63.4330', '4. close': '63.5030', '5. volume': '2800785'}"
,"{'1. open': '63.7440', '2. high': '63.8480', '3. low': '63.5900', '4. close': '63.6750', '5. volume': '19126'}"
,"{'1. open': '63.7440', '2. high': '63.9120', '3. low': '63.4300', '4. close': '63.6750', '5. volume': '1063968'}"
,"{'1. open': '63.7070', '2. high': '63.8480', '3. low': '63.5520', '4. close': '63.6600', '5. volume': '114303'}"
,"{'1. open': '63.6840', '2. high': '63.7950', '3. low': '63.5070', '4. close': '63.6230', '5. volume': '1044497'}"
,"{'1. open': '63.6620', '2. high': '63.7800', '3. low': '63.4770', '4. close': '63.5850', '5. volume': '56591'}"
,"{'1. open': '63.6470', '2. high': '63.7500', '3. low': '63.4770', '4. close': '63.5850', '5. volume': '3019001'}"
,"{'1. open': '63.6620', '2. high': '63.9610', '3. low': '63.4850', '4. close': '63.5630', '5. volume': '68496'}"
,"{'1. open': '63.6620', '2. high': '63.7730', '3. low': '63.4400', '4. close': '63.5780', '5. volume': '115258'}"
,"{'1. open': '63.5710', '2. high': '63.7730', '3. low': '63.4170', '4. close': '63.5780', '5. volume': '914884'}"
,"{'1. open': '63.5410', '2. high': '63.6600', '3. low': '63.3650', '4. close': '63.4880', '5. volume': '880734'}"
,"{'1. open': '63.5710', '2. high': '63.7580', '3. low': '63.3350', '4. close': '63.4500', '5. volume': '4796515'}"
,"{'1. open': '63.6160', '2. high': '63.7280', '3. low': '63.3800', '4. close': '63.4880', '5. volume': '6970595'}"
,"{'1. open': '63.5940', '2. high': '63.7800', '3. low': '63.3420', '4. close': '63.5330', '5. volume': '4994190'}"
,"{'1. open': '63.6540', '2. high': '63.7580', '3. low': '63.3650', '4. close': '63.5100', '5. volume': '5396560'}"
,"{'1. open': '63.5560', '2. high': '63.9010', '3. low': '63.4020', '4. close': '63.5780', '5. volume': '5084197'}"
,"{'1. open': '63.5410', '2. high': '63.8030', '3. low': '63.3720', '4. close': '63.4730', '5. volume': '4550112'}"
,"{'1. open': '63.9170', '2. high': '64.0290', '3. low': '63.3720', '4. close': '63.4580', '5. volume': '5538122'}"
,"{'1. open': '63.9170', '2. high': '63.9990', '3. low': '63.6570', '4. close': '63.8400', '5. volume': '4471824'}"
,"{'1. open': '64.0830', '2. high': '64.1790', '3. low': '63.6650', '4. close': '63.8400', '5. volume': '4751006'}"
,"{'1. open': '64.0900', '2. high': '64.2390', '3. low': '63.8750', '4. close': '63.9980', '5. volume': '2873090'}"
,"{'1. open': '64.1280', '2. high': '64.2170', '3. low': '63.8150', '4. close': '64.0130', '5. volume': '3129219'}"
,"{'1. open': '64.1730', '2. high': '64.2470', '3. low': '63.8750', '4. close': '64.0360', '5. volume': '2913021'}"
,"{'1. open': '63.9550', '2. high': '64.2920', '3. low': '63.8000', '4. close': '64.0880', '5. volume': '4339967'}"
,"{'1. open': '64.0520', '2. high': '64.1870', '3. low': '63.7320', '4. close': '63.8700', '5. volume': '4192439'}"
,"{'1. open': '64.0300', '2. high': '64.1490', '3. low': '63.8220', '4. close': '63.9760', '5. volume': '2011796'}"
